1,11,1029.49,162.73,38.14,90.28,0.48,-1,-1,-1
1,10,360.83,319.76,67.13,218.00,0.48,-1,-1,-1
1,9,572.33,251.58,56.38,149.39,0.48,-1,-1,-1
1,8,618.68,264.75,71.14,212.23,0.48,-1,-1,-1
1,7,402.57,350.34,90.59,250.09,0.48,-1,-1,-1
1,6,221.21,333.40,118.03,261.75,0.48,-1,-1,-1
1,5,1078.94,272.09,55.64,238.21,0.48,-1,-1,-1
1,4,1473.84,461.91,179.45,292.65,0.48,-1,-1,-1
1,3,1118.33,492.30,132.49,388.55,0.48,-1,-1,-1
1,2,0.03,426.74,118.23,297.15,0.48,-1,-1,-1
1,1,131.85,439.94,160.15,333.68,0.48,-1,-1,-1
2,13,1630.20,837.39,257.51,242.18,0.48,-1,-1,-1
2,12,394.92,338.49,91.80,268.35,0.48,-1,-1,-1
2,11,1029.26,162.48,38.44,90.43,0.53,-1,-1,-1
2,10,358.13,324.82,59.46,210.88,0.53,-1,-1,-1
2,9,570.15,253.85,57.19,142.61,0.53,-1,-1,-1
2,8,605.80,258.89,87.97,218.55,0.53,-1,-1,-1
2,7,398.79,351.06,89.87,255.59,0.53,-1,-1,-1
2,6,217.88,335.27,111.51,259.73,0.53,-1,-1,-1
2,5,1078.29,271.94,56.18,238.13,0.53,-1,-1,-1
2,4,1491.67,461.80,173.53,342.09,0.53,-1,-1,-1
2,3,1128.74,492.78,134.34,405.36,0.53,-1,-1,-1
2,2,0.02,426.33,136.82,297.15,0.53,-1,-1,-1
2,1,139.79,440.64,156.82,333.75,0.53,-1,-1,-1
3,16,0.10,639.89,68.48,170.20,0.48,-1,-1,-1
3,15,968.27,186.34,36.09,94.28,0.48,-1,-1,-1
3,14,927.15,143.59,21.73,62.36,0.48,-1,-1,-1
3,11,1030.35,162.20,38.13,91.68,0.59,-1,-1,-1
3,10,351.95,322.83,63.01,207.83,0.59,-1,-1,-1
3,9,569.29,254.71,56.22,142.44,0.59,-1,-1,-1
3,8,613.16,258.16,82.80,219.92,0.59,-1,-1,-1
3,7,391.52,353.69,96.41,256.82,0.59,-1,-1,-1
3,6,210.73,337.96,104.58,260.39,0.59,-1,-1,-1
3,5,1078.45,271.87,56.00,238.25,0.59,-1,-1,-1
3,4,1514.71,459.60,162.92,354.61,0.59,-1,-1,-1
3,3,1130.75,496.46,150.51,416.15,0.59,-1,-1,-1
3,2,1.85,426.60,142.35,296.78,0.59,-1,-1,-1
3,1,133.77,442.73,168.01,331.76,0.59,-1,-1,-1
4,11,1030.60,162.08,38.13,92.33,0.66,-1,-1,-1
4,9,569.05,255.21,54.78,144.40,0.66,-1,-1,-1
4,8,618.52,262.91,73.40,215.47,0.66,-1,-1,-1
4,7,380.78,356.38,106.27,257.08,0.66,-1,-1,-1
4,6,204.31,341.05,103.50,264.43,0.66,-1,-1,-1
4,5,1078.17,271.68,56.13,238.40,0.66,-1,-1,-1
4,4,1534.69,459.20,154.12,355.50,0.66,-1,-1,-1
4,3,1128.45,500.33,188.10,420.10,0.66,-1,-1,-1
4,2,9.62,428.26,146.71,295.62,0.66,-1,-1,-1
4,1,133.86,442.37,171.10,332.61,0.66,-1,-1,-1
5,11,1032.02,162.40,37.09,92.49,0.73,-1,-1,-1
5,9,567.63,254.63,54.57,144.38,0.73,-1,-1,-1
5,8,615.61,262.87,74.72,215.80,0.73,-1,-1,-1
5,7,373.62,358.99,112.32,258.09,0.73,-1,-1,-1
5,6,195.48,344.57,112.91,258.22,0.73,-1,-1,-1
5,5,1078.49,271.09,55.57,238.96,0.73,-1,-1,-1
5,4,1536.23,460.65,165.25,367.43,0.73,-1,-1,-1
5,3,1131.79,505.92,204.23,418.54,0.73,-1,-1,-1
5,2,13.50,427.02,149.30,296.73,0.73,-1,-1,-1
5,1,137.39,441.97,170.46,334.36,0.73,-1,-1,-1
6,15,970.04,183.30,43.62,99.97,0.66,-1,-1,-1
6,11,1032.00,162.42,37.49,92.45,0.81,-1,-1,-1
6,9,565.53,254.48,55.62,143.71,0.81,-1,-1,-1
6,8,608.75,262.04,73.48,215.96,0.81,-1,-1,-1
6,7,373.93,359.73,107.23,259.52,0.81,-1,-1,-1
6,6,192.99,345.53,114.44,254.87,0.81,-1,-1,-1
6,5,1079.37,270.46,54.71,239.64,0.81,-1,-1,-1
6,4,1535.36,461.91,178.57,370.77,0.81,-1,-1,-1
6,3,1131.23,510.46,232.14,415.74,0.81,-1,-1,-1
6,2,21.93,424.98,140.80,298.45,0.81,-1,-1,-1
6,1,145.27,443.25,163.21,336.66,0.81,-1,-1,-1
7,15,972.37,182.15,41.34,100.23,0.73,-1,-1,-1
7,11,1031.97,160.63,37.62,90.78,0.90,-1,-1,-1
7,9,564.93,254.70,55.13,144.65,0.90,-1,-1,-1
7,8,598.85,260.02,90.32,218.89,0.90,-1,-1,-1
7,7,367.36,360.32,110.38,260.57,0.90,-1,-1,-1
7,6,189.56,345.40,117.36,252.73,0.90,-1,-1,-1
7,5,1079.48,270.10,55.05,240.08,0.90,-1,-1,-1
7,4,1533.94,464.24,192.36,371.10,0.90,-1,-1,-1
7,3,1136.61,516.24,244.76,414.32,0.90,-1,-1,-1
7,2,33.00,420.63,129.19,302.73,0.90,-1,-1,-1
7,1,150.45,442.85,159.11,339.32,0.90,-1,-1,-1
8,15,973.33,179.81,42.70,102.08,0.81,-1,-1,-1
8,11,1033.38,159.89,35.30,91.25,1.11,-1,-1,-1
8,9,564.03,255.27,55.30,146.11,1.11,-1,-1,-1
8,8,598.81,260.69,89.40,219.40,1.11,-1,-1,-1
8,7,363.19,360.14,101.70,261.09,1.11,-1,-1,-1
8,6,183.00,346.17,122.68,251.42,1.11,-1,-1,-1
8,5,1079.41,270.28,55.54,239.95,1.11,-1,-1,-1
8,4,1533.66,466.82,203.46,369.69,1.11,-1,-1,-1
8,3,1143.23,521.05,248.28,412.71,1.11,-1,-1,-1
