frame,idx_frame,camera_id,camera_name,box_x1,box_y1,box_x2,box_y2,identity_id,primary_uuid,secondary_uuid,xys
scene1_001.jpg,1,1,scene1,94,117,150,267,1,id_1,id_1_s1,"[102, 137, 142, 137, 104, 257, 140, 257]"
scene1_001.jpg,1,1,scene1,332,138,392,283,2,id_2,id_2_s1,"[340, 158, 384, 158, 342, 273, 382, 273]"
scene1_002.jpg,2,1,scene1,102,119,158,269,1,id_1,id_1_s1,"[110, 139, 150, 139, 112, 259, 148, 259]"
scene1_002.jpg,2,1,scene1,318,141,378,286,2,id_2,id_2_s1,"[326, 161, 370, 161, 328, 276, 368, 276]"
scene1_003.jpg,3,1,scene1,118,121,174,271,1,id_1,id_1_s1,"[126, 141, 166, 141, 128, 261, 164, 261]"
scene1_003.jpg,3,1,scene1,312,144,372,289,2,id_2,id_2_s1,"[320, 164, 364, 164, 322, 279, 362, 279]"
scene1_004.jpg,4,1,scene1,126,123,182,273,1,id_1,id_1_s1,"[134, 143, 174, 143, 136, 263, 172, 263]"
scene1_004.jpg,4,1,scene1,298,147,358,292,2,id_2,id_2_s1,"[306, 167, 350, 167, 308, 282, 348, 282]"
scene1_005.jpg,5,1,scene1,142,125,198,275,1,id_1,id_1_s1,"[150, 145, 190, 145, 152, 265, 188, 265]"
scene1_005.jpg,5,1,scene1,292,150,352,295,2,id_2,id_2_s1,"[300, 170, 344, 170, 302, 285, 342, 285]"
scene1_006.jpg,6,1,scene1,150,127,206,277,1,id_1,id_1_s1,"[158, 147, 198, 147, 160, 267, 196, 267]"
scene1_006.jpg,6,1,scene1,278,153,338,298,2,id_2,id_2_s1,"[286, 173, 330, 173, 288, 288, 328, 288]"
scene1_007.jpg,7,1,scene1,166,129,222,279,5,id_5,id_5_s1,"[174, 149, 214, 149, 176, 269, 212, 269]"
scene1_007.jpg,7,1,scene1,272,156,332,301,2,id_2,id_2_s1,"[280, 176, 324, 176, 282, 291, 322, 291]"
scene1_008.jpg,8,1,scene1,174,131,230,281,1,id_1,id_1_s1,"[182, 151, 222, 151, 184, 271, 220, 271]"
scene1_008.jpg,8,1,scene1,258,159,318,304,2,id_2,id_2_s1,"[266, 179, 310, 179, 268, 294, 308, 294]"
scene1_009.jpg,9,1,scene1,190,133,246,283,1,id_1,id_1_s1,"[198, 153, 238, 153, 200, 273, 236, 273]"
scene1_009.jpg,9,1,scene1,252,162,312,307,2,id_2,id_2_s1,"[260, 182, 304, 182, 262, 297, 302, 297]"
scene1_010.jpg,10,1,scene1,198,135,254,285,1,id_1,id_1_s1,"[206, 155, 246, 155, 208, 275, 244, 275]"
scene1_010.jpg,10,1,scene1,238,165,298,310,2,id_2,id_2_s1,"[246, 185, 290, 185, 248, 300, 288, 300]"
