frame,idx_frame,camera_id,camera_name,box_x1,box_y1,box_x2,box_y2,identity_id,primary_uuid,secondary_uuid,xys
scene1_001.jpg,1,1,scene1,96,117,152,267,1,id_1,id_1_s1,"[104, 137, 144, 137, 106, 257, 142, 257]"
scene1_001.jpg,1,1,scene1,326,138,386,283,2,id_2,id_2_s1,"[334, 158, 378, 158, 336, 273, 376, 273]"
scene1_002.jpg,2,1,scene1,108,119,164,269,1,id_1,id_1_s1,"[116, 139, 156, 139, 118, 259, 154, 259]"
scene1_002.jpg,2,1,scene1,316,141,376,286,2,id_2,id_2_s1,"[324, 161, 368, 161, 326, 276, 366, 276]"
scene1_003.jpg,3,1,scene1,120,121,176,271,1,id_1,id_1_s1,"[128, 141, 168, 141, 130, 261, 166, 261]"
scene1_003.jpg,3,1,scene1,306,144,366,289,2,id_2,id_2_s1,"[314, 164, 358, 164, 316, 279, 356, 279]"
scene1_004.jpg,4,1,scene1,132,123,188,273,1,id_1,id_1_s1,"[140, 143, 180, 143, 142, 263, 178, 263]"
scene1_004.jpg,4,1,scene1,296,147,356,292,2,id_2,id_2_s1,"[304, 167, 348, 167, 306, 282, 346, 282]"
scene1_005.jpg,5,1,scene1,144,125,200,275,1,id_1,id_1_s1,"[152, 145, 192, 145, 154, 265, 190, 265]"
scene1_005.jpg,5,1,scene1,286,150,346,295,2,id_2,id_2_s1,"[294, 170, 338, 170, 296, 285, 336, 285]"
scene1_006.jpg,6,1,scene1,156,127,212,277,1,id_1,id_1_s1,"[164, 147, 204, 147, 166, 267, 202, 267]"
scene1_006.jpg,6,1,scene1,276,153,336,298,2,id_2,id_2_s1,"[284, 173, 328, 173, 286, 288, 326, 288]"
scene1_007.jpg,7,1,scene1,168,129,224,279,1,id_1,id_1_s1,"[176, 149, 216, 149, 178, 269, 214, 269]"
scene1_007.jpg,7,1,scene1,266,156,326,301,2,id_2,id_2_s1,"[274, 176, 318, 176, 276, 291, 316, 291]"
scene1_008.jpg,8,1,scene1,180,131,236,281,1,id_1,id_1_s1,"[188, 151, 228, 151, 190, 271, 226, 271]"
scene1_008.jpg,8,1,scene1,256,159,316,304,4,id_4,id_4_s1,"[264, 179, 308, 179, 266, 294, 306, 294]"
scene1_009.jpg,9,1,scene1,192,133,248,283,1,id_1,id_1_s1,"[200, 153, 240, 153, 202, 273, 238, 273]"
scene1_009.jpg,9,1,scene1,246,162,306,307,4,id_4,id_4_s1,"[254, 182, 298, 182, 256, 297, 296, 297]"
scene1_010.jpg,10,1,scene1,204,135,260,285,1,id_1,id_1_s1,"[212, 155, 252, 155, 214, 275, 250, 275]"
scene1_010.jpg,10,1,scene1,236,165,296,310,4,id_4,id_4_s1,"[244, 185, 288, 185, 246, 300, 286, 300]"
